"machine","location_type","num_vendex_nearby_300","train_AvgDailyPassengers","train_AvgWorkingDayPassengers","n_density_5km","income_average","total_number_of_routes_600","num_hotels","num_hotels_45","small_machine"
1333,"petrol station",2,NA,NA,1432.30366492147,NA,19,0,0,0
1334,"transport",0,NA,NA,84.9860335195531,50798,18,0,0,0
1335,"transport",0,1200,1400,188.526315789474,49436,11,0,0,1
1336,"transport",0,NA,NA,107.511190689346,73939,2,0,0,1
1337,"others",2,NA,NA,1318.1593714927,54617,8,0,0,0
1338,"transport",1,21600,25100,1238.60269360269,48500,114,3,2,1
1339,"transport",0,21600,25100,1238.60269360269,48500,129,0,0,1
1340,"transport",1,21600,25100,1097.9347826087,48500,20,0,0,0
1341,"transport",1,NA,NA,293.469613259669,56350,7,0,0,0
1342,"others",3,NA,NA,3784.68883205456,60984,62,2,0,0
1343,"petrol station",2,NA,NA,173.896396396396,49220,32,0,0,1
1344,"others",0,NA,NA,227.361835245047,47938,8,0,0,0
1345,"others",0,NA,NA,1443.67231638418,53730,17,0,0,0
1346,"transport",0,NA,NA,28.5506732813607,52783,10,0,0,0
1347,"transport",0,NA,NA,384.595808383234,4151900,20,0,0,0
1348,"others",0,NA,NA,379.411098527746,47529,16,0,0,0
1349,"transport",0,NA,NA,176.588072122053,53471,NA,0,0,1
1350,"transport",1,NA,NA,440.228070175439,46430,17,0,0,1
1351,"transport",9,84700,91800,1560.87224669604,NA,314,31,14,0
1352,"petrol station",0,NA,NA,397.360931435964,43337,2,0,0,0
1353,"others",6,NA,NA,4229.37931034483,56368,455,14,7,0
1354,"petrol station",0,NA,NA,346.633165829146,53202,1,0,0,0
1355,"transport",0,18800,18400,50.5811138014528,NA,NA,0,0,0
1356,"transport",0,380,410,743.946731234867,56094,16,0,0,0
1357,"petrol station",0,NA,NA,194.362818590705,57185,3,0,0,0
1358,"petrol station",0,NA,NA,120.405616224649,56094,13,0,0,0
1359,"transport",1,460,510,136.846965699208,54601,9,0,0,0
1360,"others",0,NA,NA,696.788990825688,52339,10,1,0,1
1361,"transport",1,1900,2200,571.46750524109,5609400,8,0,0,1
1362,"transport",1,NA,NA,21.1294416243655,33916,2,0,0,1
1363,"transport",0,NA,NA,36.3155267099351,34927,8,0,0,0
1364,"petrol station",0,NA,NA,301.863354037267,55488,2,0,0,0
1365,"transport",2,5700,6900,212.95371050698,106009,2,0,0,0
1366,"transport",1,NA,NA,93.6438075742067,55159,2,0,0,0
1367,"petrol station",0,NA,NA,1787.59061833689,NA,11,0,0,0
1368,"others",0,NA,NA,127.160647571606,67995,6,0,0,0
1369,"transport",2,1900,2300,429.8,46036,21,0,0,0
1370,"others",0,NA,NA,230.405594405594,47430,7,0,0,0
1371,"petrol station",0,NA,NA,5609.71631205674,58274,26,2,1,0
1372,"petrol station",0,NA,NA,1625.37142857143,63834,5,0,0,0
1373,"transport",1,2300,2600,400.128440366972,82591,36,1,0,0
1374,"transport",12,35500,41500,1210.87378640777,97773,108,4,3,0
1375,"petrol station",0,NA,NA,1201.79104477612,NA,20,0,0,1
1376,"others",0,NA,NA,209.673157162726,NA,5,0,0,1
1377,"transport",0,550,500,235.429071803853,59835,2,0,0,1
1378,"others",0,NA,NA,4687.00255102041,57891,45,1,0,1
1379,"transport",1,4200,4800,1372.98484848485,118658,10,1,0,0
1380,"transport",2,1900,2300,429.8,46036,21,0,0,0
1381,"transport",1,510,560,684.045714285714,50507,11,0,0,1
1382,"petrol station",0,NA,NA,518.375209380235,53918,NA,0,0,1
1383,"transport",1,4800,6000,1416.42411642412,55115,25,3,2,0
1384,"petrol station",0,NA,NA,533.007092198582,82759,6,0,0,0
1385,"transport",1,NA,NA,1544.41964285714,55395,17,0,0,0
1386,"transport",6,21600,25100,1238.60269360269,48500,142,2,1,0
1387,"petrol station",0,NA,NA,211.622691292876,52214,6,0,0,0
1388,"petrol station",0,NA,NA,429.226736566186,47618,7,0,0,1
1389,"others",0,NA,NA,4616.71388101983,49336,29,0,0,1
1390,"transport",1,2700,3300,761.779279279279,112455,19,0,0,0
1391,"transport",1,3200,3800,303.123404255319,45945,9,0,0,0
1392,"transport",0,1100,1300,197.005444646098,58496,1,0,0,0
1393,"others",0,NA,NA,866.319910514541,55038,18,0,0,0
1394,"transport",3,11400,13100,416.182048040455,47618,49,0,0,1
1395,"petrol station",0,NA,NA,581.292517006803,54949,11,0,0,1
1396,"others",1,NA,NA,1555.51521099117,54010,20,1,1,0
1397,"petrol station",0,NA,NA,67.5150602409638,56094,1,0,0,1
1398,"transport",1,2000,2300,307.111111111111,56830,15,0,0,1
1399,"transport",3,NA,NA,159.313524590164,5609400,26,0,0,0
1400,"others",0,NA,NA,197.117552334944,42196,9,1,1,1
1401,"others",0,NA,NA,121.068027210884,56094,6,0,0,0
1402,"others",0,NA,NA,1062.72182254197,43291,49,1,0,1
1403,"others",1,NA,NA,527.921440261866,60256,7,1,0,1
1404,"others",4,NA,NA,820.469483568075,51545,67,0,0,0
1405,"petrol station",0,NA,NA,391.111111111111,59516,5,1,1,0
1406,"transport",0,380,450,589.687964338782,53065,9,0,0,1
1407,"transport",0,300,410,31.7962466487936,45155,8,0,0,0
1408,"transport",1,380,440,1174.17302798982,NA,23,0,0,0
1409,"transport",0,450,530,99.5961227786753,47859,9,2,1,0
1410,"transport",0,370,480,155.454545454545,48320,8,0,0,0
1411,"petrol station",0,NA,NA,426.619718309859,NA,4,0,0,0
1412,"others",0,NA,NA,97.0077519379845,49960,9,0,0,0
1413,"others",0,NA,NA,690.637329286798,64207,1,0,0,0
1414,"others",0,NA,NA,333.201396973225,54749,6,0,0,0
1415,"others",0,NA,NA,500.613026819923,44425,1,0,0,0
1416,"petrol station",0,NA,NA,299.597197898424,42502,1,0,0,0
1417,"petrol station",4,NA,NA,1056.16,52392,39,1,1,1
1418,"petrol station",1,NA,NA,1056.16,52392,41,1,0,0
1419,"transport",0,NA,NA,306.647727272727,41914,10,0,0,1
1420,"others",1,NA,NA,170.899742930591,48333,NA,0,0,0
1421,"transport",0,NA,NA,78.2357723577236,49242,6,0,0,1
1422,"transport",0,310,360,88.345498783455,45388,NA,0,0,1
1423,"transport",5,13000,15100,483.415233415233,81810,91,0,0,1
1424,"transport",5,13000,15100,483.415233415233,81810,91,0,0,0
1425,"others",1,NA,NA,1662.88306451613,54010,339,31,10,0
1426,"transport",0,1100,1100,43.2301886792453,46451,15,0,0,0
1427,"others",2,NA,NA,54.7727272727273,66434,24,14,1,0
1428,"transport",1,180700,202600,1654.85321100917,51792,28,0,0,0
1429,"transport",0,180700,202600,1684.06309751434,51792,17,0,0,0
1430,"transport",32,396300,441400,4515.98407281001,60984,845,39,9,1
1431,"transport",32,396300,441400,4515.98407281001,60984,845,39,9,0
1432,"others",3,NA,NA,4312.34,NA,26,0,0,1
1433,"petrol station",0,NA,NA,618.58064516129,76746,NA,0,0,0
1434,"transport",0,300,370,167.808219178082,45621,7,0,0,0
1435,"transport",1,300,370,161.709039548023,44832,NA,0,0,1
1436,"others",0,NA,NA,240.568990042674,44883,28,1,0,0
1437,"transport",0,1200,1400,165.389830508475,49468,1,0,0,0
1438,"transport",0,NA,NA,495.636363636364,45522,2,0,0,1
1439,"transport",1,1500,1700,1225.84022038568,47516,19,0,0,1
1440,"transport",12,35500,41500,1210.87378640777,97773,108,4,3,0
1441,"transport",0,2200,2500,982.654402102497,62585,5,0,0,1
1442,"transport",0,560,640,147.547425474255,55312,1,0,0,0
1443,"transport",0,570,690,623.902116402116,49370,2,0,0,0
1444,"transport",12,35500,41500,1210.87378640777,97773,108,4,3,1
1445,"others",0,NA,NA,1980.58185404339,51792,24,0,0,1
1446,"others",0,NA,NA,1828.45943482224,51792,24,4,1,0
1447,"others",2,NA,NA,890.727272727273,62986,28,0,0,0
1448,"transport",7,35900,42000,964.672489082969,60317,116,1,0,0
1449,"transport",1,10100,12000,1639.92606284658,50504,32,1,0,0
1450,"transport",4,14200,16100,730.519645120405,14381500,46,0,0,1
1451,"transport",1,4400,5200,996.505102040816,66867,17,1,0,0
1452,"transport",2,17300,19800,1432.16644649934,82511,34,1,1,0
1453,"transport",0,4500,5500,1113.23024054983,79081,8,0,0,0
1454,"others",0,NA,NA,595.069518716578,55139,21,0,0,1
1455,"transport",1,970,1200,274.451901565996,54439,10,0,0,1
1456,"transport",0,5000,5900,208.386277001271,48797,13,0,0,0
1457,"others",1,NA,NA,232.560819462228,45527,10,0,0,1
1458,"transport",1,2500,3000,1769.45794392523,106471,13,1,1,0
1459,"transport",1,1300,1600,1254.437596302,NA,12,0,0,0
1460,"transport",0,NA,NA,144.430199430199,51807,21,0,0,1
1461,"others",0,NA,NA,401.295896328294,48637,11,0,0,0
1462,"others",0,NA,NA,197.964148527529,4521000,2,0,0,0
1463,"transport",1,130,130,164.252577319588,46261,NA,0,0,1
1464,"transport",1,940,1000,478.91797556719,47295,9,0,0,0
1465,"others",0,2600,3200,2651.17936117936,50343,49,0,0,0
1466,"others",4,94100,107100,2756.92682926829,50343,263,14,5,0
1467,"transport",3,17500,21100,2556.65529010239,44874,14,0,0,0
1468,"transport",0,1100,1200,2499.58960328317,89566,27,1,0,1
1469,"others",1,NA,NA,2026.85567010309,47406,21,0,0,1
1470,"others",1,NA,NA,5181.77156177156,56368,69,6,1,0
1471,"transport",0,3300,3800,1555.51521099117,46404,28,0,0,0
1472,"transport",1,2400,2900,1248.00681431005,61766,18,0,0,1
1473,"transport",0,4000,4600,1031.20754716981,151565,18,1,0,1
1474,"transport",2,3100,3700,868.006993006993,63742,12,1,1,0
1475,"transport",5,23500,27600,1053.45509893455,62535,34,3,0,0
1476,"transport",1,16600,19300,762.622377622378,56094,32,0,0,0
1477,"others",11,NA,NA,4229.37931034483,56368,52,4,1,1
1478,"others",1,NA,NA,772.19755826859,51545,23,2,1,0
1479,"transport",0,15200,17500,340.830489192264,68527,5,0,0,1
1480,"transport",0,1300,1500,1443.67231638418,53730,14,0,0,1
1481,"transport",0,7700,9500,3478.62761506276,60984,21,2,1,0
1482,"others",0,NA,NA,1745.79196217494,51792,16,1,1,0
1483,"others",0,NA,NA,94.3343653250774,50324,7,0,0,0
1484,"others",0,NA,NA,927.629427792915,61956,16,0,0,0
1485,"transport",9,33300,39100,1024.34615384615,67100,148,6,3,1
1486,"transport",0,NA,NA,10.8183018037835,42665,22,0,0,0
1487,"transport",0,12400,12300,146.307922272048,65847,12,0,0,1
1488,"transport",6,19800,22400,827.301038062284,45278,133,0,0,1
1489,"transport",1,880,1000,134.277372262774,56094,10,0,0,0
1490,"petrol station",2,NA,NA,690.280373831776,42914,4,0,0,1
1491,"transport",1,770,940,357.524644030668,5116200,6,0,0,0
1492,"transport",1,2000,2000,57.0237050043898,44778,41,1,0,0
1493,"others",1,NA,NA,359.087799315849,47040,35,1,0,1
1494,"transport",2,3800,4100,3581.32434575734,60984,18,1,0,1
1495,"transport",0,2400,2700,1258.96174863388,60984,6,0,0,0
1496,"transport",6,60500,70700,4996.36135508156,58274,223,45,19,1
1497,"transport",2,NA,NA,47.7099236641221,46036,NA,0,0,1
